0,000000	0,681490
0,033333	0,634211
0,066667	0,609159
0,100000	0,605252
0,133333	0,618252
0,166667	0,643319
0,200000	0,676583
0,233333	0,715383
0,266667	0,757981
0,300000	0,803248
0,333333	0,850441
0,366667	0,899059
0,400000	0,948756
0,433333	0,999287
0,466667	1,050475
0,500000	1,102188
0,533333	1,154327
0,566667	1,206818
0,600000	1,259600
0,633333	1,312629
0,666667	1,365866
0,700000	1,419282
0,733333	1,472852
0,766667	1,526557
0,800000	1,580379
0,833333	1,634305
0,866667	1,688324
0,900000	1,742424
0,933333	1,796597
0,966667	1,850836
1,000000	1,905136
